target_gene	kEff_avg	kEff_HepG2	kEff_K562
ADAR	89	79	99
AQR	20.5	13	28
BUD13	73.75	74.5	73
CELF1	31.75	55	8.5
DAZAP1	68.5	76	61
EFTUD2	69.75	67.5	72
EIF4G1	80.5	79.5	81.5
EWSR1	47.75	45	50.5
FUBP1	88	84	92
GEMIN5	67.25	56.5	78
GPKOW	53	53	NA
HNRNPC	91.5	93.5	89.5
HNRNPU	46.5	34	59
KHDRBS1	72.5	74.5	70.5
KHSRP	80.75	81	80.5
MAGOH	84.25	76.5	92
MATR3	NA	NA	NA
NCBP2	62.25	68	56.5
NONO	79	79.5	78.5
PABPC1	NA	NA	NA
PCBP1	NA	NA	NA
PCBP2	56.75	57	56.5
PPIG	63.75	60	67.5
PRPF4	73	69.5	76.5
PRPF6	63.75	60	67.5
PSIP1	75.5	86.5	64.5
PTBP1	65.75	60.5	71
PUF60	66.5	78	55
QKI	64.5	73	56
RAVER1	74.5	NA	74.5
RBM15	68	69	67
RBM22	42.25	29	55.5
RBM39	63	63	63
RPS10	NA	NA	NA
RPS19	NA	NA	NA
RPS3A	82.25	77.5	87
SART3	64.5	70.5	58.5
SF1	53.75	54	53.5
SF3A3	43.25	0.5	86
SF3B4	65.25	63.5	67
SMN1	62.5	69	56
SMNDC1	49	45	53
SND1	88.5	91	86
SNRNP200	63.75	65.5	62
SRSF1	65.5	50.5	80.5
SUGP2	47.25	47	47.5
TARDBP	68.25	69.5	67
TIAL1	47	48.5	45.5
U2AF1	71.25	59	83.5
U2AF2	56	49	63
ZRANB2	64.75	70	59.5
