"target_gene"	"experiment_id"	"cell_line"	"gene_silencing_series"
"AATF"	"ENCSR424YSV"	"HepG2"	"ENCSR634FMS"
"AATF"	"ENCSR973QSV"	"K562"	"ENCSR146UCW"
"ABCF1"	"ENCSR610VTA"	"HepG2"	"ENCSR266ZIC"
"ABCF1"	"ENCSR721MXZ"	"K562"	"ENCSR242RKD"
"ABT1"	"ENCSR756VLW"	"HepG2"	"ENCSR456IPG"
"ABT1"	"ENCSR233UVM"	"K562"	"ENCSR954JGH"
"ACO1"	"ENCSR511SYK"	"HepG2"	"ENCSR339RBD"
"ADAR"	"ENCSR104OLN"	"HepG2"	"ENCSR553SDV"
"ADAR"	"ENCSR164TLB"	"K562"	"ENCSR415ETS"
"AGO1"	"ENCSR533HXS"	"HepG2"	"ENCSR213SDO"
"AGO1"	"ENCSR268JDD"	"K562"	"ENCSR821NVF"
"AGO2"	"ENCSR495YSS"	"K562"	"ENCSR017ZQT"
"AGO3"	"ENCSR207QGW"	"K562"	"ENCSR917NYB"
"AKAP1"	"ENCSR016IDR"	"HepG2"	"ENCSR220SFY"
"AKAP1"	"ENCSR338CON"	"K562"	"ENCSR533CRH"
"APOBEC3C"	"ENCSR012DAF"	"HepG2"	"ENCSR153LWS"
"APOBEC3C"	"ENCSR963RLK"	"K562"	"ENCSR628KJM"
"AQR"	"ENCSR431SXF"	"HepG2"	"ENCSR354MEA"
"AQR"	"ENCSR624OUI"	"K562"	"ENCSR458PUT"
"ATP5C1"	"ENCSR713OLV"	"HepG2"	"ENCSR405FAO"
"ATP5C1"	"ENCSR231DXJ"	"K562"	"ENCSR945FQQ"
"AUH"	"ENCSR409CSO"	"HepG2"	"ENCSR828YUV"
"AUH"	"ENCSR395FYF"	"K562"	"ENCSR805AKV"
"BCCIP"	"ENCSR570CWH"	"HepG2"	"ENCSR459URX"
"BCCIP"	"ENCSR606QIX"	"K562"	"ENCSR566QET"
"BOP1"	"ENCSR925SYZ"	"HepG2"	"ENCSR738DNW"
"BOP1"	"ENCSR775TMW"	"K562"	"ENCSR894YKS"
"BUD13"	"ENCSR382QKD"	"HepG2"	"ENCSR662ZKE"
"BUD13"	"ENCSR267RHP"	"K562"	"ENCSR136SIX"
"CALR"	"ENCSR040WAK"	"HepG2"	"ENCSR300GZP"
"CCAR2"	"ENCSR237IWZ"	"HepG2"	"ENCSR595RGO"
